node_id,type,title,file,question_count,degree_centrality,betweenness_centrality,lecture_id,keywords,weight,topic_text,name,keyword,embedding,question,options,source
lec_1,Lecture,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 01- INTRODUCTION TO DBMS AND DATABASE DESIGN PROCESS,1.pdf,37.0,0.0482573726541555,0.0,,,,,,,,,,
lec_2,Lecture,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 02- ER AND EER TO RELATIONAL MODEL MAPPING,2.pdf,93.0,0.04691689008042896,0.0,,,,,,,,,,
lec_3,Lecture,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 03- SCHEMA REFINEMENT,3.pdf,40.0,0.0482573726541555,0.0,,,,,,,,,,
lec_4,Lecture,DATABASE MANAGEMENT SYSTEMS (IT2040) LECTURE 04 - SQL,4.pdf,102.0,0.0482573726541555,0.0,,,,,,,,,,
lec_5,Lecture,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 05 – DATABASE PROGRAMMING,5.pdf,57.0,0.045576407506702415,0.0,,,,,,,,,,
lec_6,Lecture,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 06 – JAVA DATABASE CONNECTIVITY,6.pdf,50.0,0.04155495978552279,0.0,,,,,,,,,,
lec_7,Lecture,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 07 – DATABASE UTILITIES,7.pdf,50.0,0.04423592493297587,0.0,,,,,,,,,,
lec_8,Lecture,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 08 – DATABASE SECURITY,8.pdf,72.0,0.04423592493297587,0.0,,,,,,,,,,
lec_1_topic_0,Topic,,,,0.00804289544235925,0.0,lec_1,"['model', 'eer', 'scenario', 'er', 'relationship']",1.0,,,,,,,
lec_1_topic_1,Topic,,,,0.00804289544235925,0.0,lec_1,"['number', 'students', 'unique', 'book', 'semester']",1.0,,,,,,,
lec_1_topic_2,Topic,,,,0.00804289544235925,0.0,lec_1,"['employee', 'department', 'permanent', 'permanent employee', 'employees']",1.0,,,,,,,
lec_1_topic_3,Topic,,,,0.00804289544235925,0.0,lec_1,"['database', 'data', 'database design', 'design', 'dbms']",1.0,,,,,,,
lec_1_topic_4,Topic,,,,0.00804289544235925,0.0,lec_1,"['entity', 'entities', 'weak', 'set', 'constraint']",1.0,,,,,,,
lec_1_topic_5,Topic,,,,0.00804289544235925,0.0,lec_1,"['drawn', 'know', 'probably', 'drawn peer', 'peer']",1.0,,,,,,,
lec_2_topic_0,Topic,,,,0.00804289544235925,0.0,lec_2,"['faculty member', 'member', 'faculty', 'student', 'person student']",1.0,,,,,,,
lec_2_topic_1,Topic,,,,0.00804289544235925,0.0,lec_2,"['complete', 'written peer', 'written', 'peer', 'example']",1.0,,,,,,,
lec_2_topic_2,Topic,,,,0.00804289544235925,0.0,lec_2,"['relation', 'key', 'primary', 'primary key', 'relational']",1.0,,,,,,,
lec_2_topic_3,Topic,,,,0.00804289544235925,0.0,lec_2,"['constraints', 'integrity', 'integrity constraints', 'constraint', 'referential']",1.0,,,,,,,
lec_2_topic_4,Topic,,,,0.00804289544235925,0.0,lec_2,"['gpa', 'nic', 'age', 'salary', 'attributes']",1.0,,,,,,,
lec_2_topic_5,Topic,,,,0.00804289544235925,0.0,lec_2,"['model', 'relational model', 'relational', 'mapping', 'database']",1.0,,,,,,,
lec_3_topic_0,Topic,,,,0.00804289544235925,0.0,lec_3,"['attributes', 'key', 'attributes key', 'axioms', 'attribute']",1.0,,,,,,,
lec_3_topic_1,Topic,,,,0.00804289544235925,0.0,lec_3,"['functional', 'dependency', 'functional dependency', 'functional dependencies', 'dependencies']",1.0,,,,,,,
lec_3_topic_2,Topic,,,,0.00804289544235925,0.0,lec_3,"['schema refinement', 'refinement', 'schema', 'lecture', 'relations']",1.0,,,,,,,
lec_3_topic_3,Topic,,,,0.00804289544235925,0.0,lec_3,"['relation', 'normal', 'form', 'normal form', 'form relation']",1.0,,,,,,,
lec_3_topic_4,Topic,,,,0.00804289544235925,0.0,lec_3,"['decomposition', 'loss', 'properties', 'good', 'properties good']",1.0,,,,,,,
lec_3_topic_5,Topic,,,,0.00804289544235925,0.0,lec_3,"['written', 'anomaly', 'department', 'join', 'tutorial']",1.0,,,,,,,
lec_4_topic_0,Topic,,,,0.00804289544235925,0.0,lec_4,"['group', 'cid', 'dbii', 'having', 'count']",1.0,,,,,,,
lec_4_topic_1,Topic,,,,0.00804289544235925,0.0,lec_4,"['condition', 'true', 'single', 'operators', 'list']",1.0,,,,,,,
lec_4_topic_2,Topic,,,,0.00804289544235925,0.0,lec_4,"['sql', 'language', 'data', 'database', 'called']",1.0,,,,,,,
lec_4_topic_3,Topic,,,,0.00804289544235925,0.0,lec_4,"['sliit', 'surani', 'se', '1002 aruni', '1001 nimali']",1.0,,,,,,,
lec_4_topic_4,Topic,,,,0.00804289544235925,0.0,lec_4,"['table', 'alter', 'drop', 'column', 'ex']",1.0,,,,,,,
lec_4_topic_5,Topic,,,,0.00804289544235925,0.0,lec_4,"['gpa', 'progid', 'student', 'bm', 'students']",1.0,,,,,,,
lec_5_topic_0,Topic,,,,0.00804289544235925,0.0,lec_5,"['trigger', 'triggers', 'table', 'inserted', 'sql']",1.0,,,,,,,
lec_5_topic_1,Topic,,,,0.00804289544235925,0.0,lec_5,"['variables', 'procedures', 'functions', 'variable', 'declare']",1.0,,,,,,,
lec_5_topic_2,Topic,,,,0.00804289544235925,0.0,lec_5,"['views', 'view', 'database', 'tables', 'table']",1.0,,,,,,,
lec_5_topic_3,Topic,,,,0.00804289544235925,0.0,lec_5,"['statement', 'sql statement', 'loop', 'sql', 'keyword']",1.0,,,,,,,
lec_5_topic_4,Topic,,,,0.00804289544235925,0.0,lec_5,"['eid', 'salary', 'did', 'budget', 'ex']",1.0,,,,,,,
lec_5_topic_5,Topic,,,,0.00804289544235925,0.0,lec_5,"['update', 'delete', 'example', 'lecture', 'powerful']",1.0,,,,,,,
lec_6_topic_0,Topic,,,,0.00804289544235925,0.0,lec_6,"['jdbc', 'java', 'application', 'database', 'sql']",1.0,,,,,,,
lec_6_topic_1,Topic,,,,0.00804289544235925,0.0,lec_6,"['statement', 'sql', 'string', 'object', 'execute']",1.0,,,,,,,
lec_6_topic_2,Topic,,,,0.00804289544235925,0.0,lec_6,"['database', 'connection', 'driver', 'database drivers', 'drivers']",1.0,,,,,,,
lec_6_topic_3,Topic,,,,0.00804289544235925,0.0,lec_6,"['set', 'result set', 'result', 'resultset', 'object']",1.0,,,,,,,
lec_6_topic_4,Topic,,,,0.00804289544235925,0.0,lec_6,"['lecture', '06', 'students able', 'students', 'import packages']",1.0,,,,,,,
lec_6_topic_5,Topic,,,,0.00804289544235925,0.0,lec_6,"['driver', 'jdbc', 'odbc', 'jdbc driver', 'jdbc odbc']",1.0,,,,,,,
lec_7_topic_0,Topic,,,,0.00804289544235925,0.0,lec_7,"['select', 'data', 'file', 'source', 'table']",1.0,,,,,,,
lec_7_topic_1,Topic,,,,0.00804289544235925,0.0,lec_7,"['data', 'excel', 'excel file', 'file', 'exporting']",1.0,,,,,,,
lec_7_topic_2,Topic,,,,0.00804289544235925,0.0,lec_7,"['bcp', 'command', 'bcp command', 'format', 'using']",1.0,,,,,,,
lec_7_topic_3,Topic,,,,0.00804289544235925,0.0,lec_7,"['sql', 'server', 'sql server', 'click', 'screen']",1.0,,,,,,,
lec_7_topic_4,Topic,,,,0.00804289544235925,0.0,lec_7,"['schedules', 'job', 'schedule', 'time', 'run']",1.0,,,,,,,
lec_7_topic_5,Topic,,,,0.00804289544235925,0.0,lec_7,"['database', 'backup', 'backups', 'databases', 'data']",1.0,,,,,,,
lec_8_topic_0,Topic,,,,0.00804289544235925,0.0,lec_8,"['login', 'sql', 'server', 'sql server', 'create']",1.0,,,,,,,
lec_8_topic_1,Topic,,,,0.00804289544235925,0.0,lec_8,"['permissions', 'allowed', 'deny', 'granting', 'granting permissions']",1.0,,,,,,,
lec_8_topic_2,Topic,,,,0.00804289544235925,0.0,lec_8,"['objects', 'database', 'contains', 'software', 'include objects']",1.0,,,,,,,
lec_8_topic_3,Topic,,,,0.00804289544235925,0.0,lec_8,"['server', 'roles', 'role', 'server roles', 'logins']",1.0,,,,,,,
lec_8_topic_4,Topic,,,,0.00804289544235925,0.0,lec_8,"['database', 'dba', 'senior dba', 'senior', 'create']",1.0,,,,,,,
lec_8_topic_5,Topic,,,,0.00804289544235925,0.0,lec_8,"['security', 'access', 'control', 'users', 'data']",1.0,,,,,,,
