concept_id,concept_name,baseline_weight,weakness_score,centrality,adaptive_weight,allocated_hours,delta_hours
concept_19,dbms,1.0,1.0,0.0147453083109919,2.0,1.0,0.8947368421052632
concept_1,eer,1.0,1.0,0.0120643431635388,2.0,1.0,0.8947368421052632
concept_104,bm,1.0,1.0,0.0120643431635388,2.0,1.0,0.8947368421052632
concept_7,unique,1.0,1.0,0.0067024128686327,2.0,1.0,0.8947368421052632
concept_20,entity,1.0,1.0,0.0134048257372654,2.0,1.0,0.8947368421052632
concept_24,constraint,1.0,1.0,0.03485254691689,2.0,1.0,0.8947368421052632
concept_44,constraints,1.0,0.7,0.0134048257372654,1.7,1.0,0.8947368421052632
concept_21,entities,1.0,0.7,0.0107238605898123,1.7,1.0,0.8947368421052632
concept_167,databases,1.0,0.7,0.017426273458445,1.7,1.0,0.8947368421052632
concept_50,age,1.0,0.6666666666666667,0.0549597855227882,1.6666666666666667,1.0,0.8947368421052632
concept_183,dba,1.0,0.3429999999999999,0.0134048257372654,1.343,1.0,0.8947368421052632
concept_15,database,1.0,0.3429999999999999,0.1058981233243967,1.343,1.0,0.8947368421052632
concept_131,execute,1.0,0.0,0.0160857908847185,1.0,1.0,0.8947368421052632
concept_130,object,1.0,0.0,0.0160857908847185,1.0,1.0,0.8947368421052632
concept_0,model,1.0,0.0,0.0214477211796246,1.0,1.0,0.8947368421052632
concept_129,string,1.0,0.0,0.0040214477211796,1.0,1.0,0.8947368421052632
concept_128,application,1.0,0.0,0.0053619302949061,1.0,1.0,0.8947368421052632
concept_126,jdbc,1.0,0.0,0.0335120643431635,1.0,1.0,0.8947368421052632
concept_125,powerful,1.0,0.0,0.002680965147453,1.0,1.0,0.8947368421052632
concept_127,java,1.0,0.0,0.0067024128686327,1.0,1.0,0.8947368421052632
concept_134,database drivers,1.0,0.0,0.002680965147453,1.0,1.0,0.8947368421052632
concept_132,connection,1.0,0.0,0.0080428954423592,1.0,1.0,0.8947368421052632
concept_133,driver,1.0,0.0,0.0201072386058981,1.0,1.0,0.8947368421052632
concept_123,update,1.0,0.0,0.0160857908847185,1.0,1.0,0.8947368421052632
concept_135,drivers,1.0,0.0,0.0067024128686327,1.0,1.0,0.8947368421052632
concept_136,result set,1.0,0.0,0.002680965147453,1.0,1.0,0.8947368421052632
concept_137,result,1.0,0.0,0.0214477211796246,1.0,1.0,0.8947368421052632
concept_138,resultset,1.0,0.0,0.0120643431635388,1.0,1.0,0.8947368421052632
concept_139,06,1.0,0.0,0.002680965147453,1.0,1.0,0.8947368421052632
concept_140,students able,1.0,0.0,0.0053619302949061,1.0,1.0,0.8947368421052632
concept_141,import packages,1.0,0.0,0.002680965147453,1.0,1.0,0.8947368421052632
concept_124,delete,1.0,0.0,0.0201072386058981,1.0,1.0,0.8947368421052632
concept_119,keyword,1.0,0.0,0.002680965147453,1.0,1.0,0.8947368421052632
concept_122,budget,1.0,0.0,0.0080428954423592,1.0,1.0,0.8947368421052632
concept_111,variable,1.0,0.0,0.0107238605898123,1.0,1.0,0.8947368421052632
concept_102,ex,1.0,0.0,0.0603217158176943,1.0,1.0,0.8947368421052632
concept_103,progid,1.0,0.0,0.0067024128686327,1.0,1.0,0.8947368421052632
concept_105,trigger,1.0,0.0,0.0281501340482573,1.0,1.0,0.8947368421052632
concept_106,triggers,1.0,0.0,0.0147453083109919,1.0,1.0,0.8947368421052632
concept_107,inserted,1.0,0.0,0.0067024128686327,1.0,1.0,0.8947368421052632
concept_108,variables,1.0,0.0,0.0067024128686327,1.0,1.0,0.8947368421052632
concept_109,procedures,1.0,0.0,0.0093833780160857,1.0,1.0,0.8947368421052632
concept_110,functions,1.0,0.0,0.0067024128686327,1.0,1.0,0.8947368421052632
concept_112,declare,1.0,0.0,0.0053619302949061,1.0,1.0,0.8947368421052632
concept_121,did,1.0,0.0,0.0268096514745308,1.0,1.0,0.8947368421052632
concept_113,views,1.0,0.0,0.0134048257372654,1.0,1.0,0.8947368421052632
concept_114,view,1.0,0.0,0.0214477211796246,1.0,1.0,0.8947368421052632
concept_115,tables,1.0,0.0,0.0308310991957104,1.0,1.0,0.8947368421052632
concept_116,statement,1.0,0.0,0.064343163538874,1.0,1.0,0.8947368421052632
concept_117,sql statement,1.0,0.0,0.0053619302949061,1.0,1.0,0.8947368421052632
concept_118,loop,1.0,0.0,0.0053619302949061,1.0,1.0,0.8947368421052632
concept_143,jdbc driver,1.0,0.0,0.0147453083109919,1.0,1.0,0.8947368421052632
concept_120,eid,1.0,0.0,0.0375335120643431,1.0,1.0,0.8947368421052632
concept_142,odbc,1.0,0.0,0.0053619302949061,1.0,1.0,0.8947368421052632
concept_148,excel,1.0,0.0,0.0093833780160857,1.0,1.0,0.8947368421052632
concept_144,jdbc odbc,1.0,0.0,0.0080428954423592,1.0,1.0,0.8947368421052632
concept_145,select,1.0,0.0,0.2010723860589812,1.0,1.0,0.8947368421052632
concept_169,create,1.0,0.0,0.0388739946380697,1.0,1.0,0.8947368421052632
concept_170,permissions,1.0,0.0,0.0107238605898123,1.0,1.0,0.8947368421052632
concept_171,allowed,1.0,0.0,0.0040214477211796,1.0,1.0,0.8947368421052632
concept_172,deny,1.0,0.0,0.0040214477211796,1.0,1.0,0.8947368421052632
concept_173,granting,1.0,0.0,0.0053619302949061,1.0,1.0,0.8947368421052632
concept_174,granting permissions,1.0,0.0,0.0080428954423592,1.0,1.0,0.8947368421052632
concept_175,objects,1.0,0.0,0.0067024128686327,1.0,1.0,0.8947368421052632
concept_176,contains,1.0,0.0,0.0053619302949061,1.0,1.0,0.8947368421052632
concept_177,software,1.0,0.0,0.002680965147453,1.0,1.0,0.8947368421052632
concept_178,include objects,1.0,0.0,0.002680965147453,1.0,1.0,0.8947368421052632
concept_179,roles,1.0,0.0,0.0134048257372654,1.0,1.0,0.8947368421052632
concept_180,role,1.0,0.0,0.0268096514745308,1.0,1.0,0.8947368421052632
concept_181,server roles,1.0,0.0,0.0080428954423592,1.0,1.0,0.8947368421052632
concept_182,logins,1.0,0.0,0.0067024128686327,1.0,1.0,0.8947368421052632
concept_184,senior dba,1.0,0.0,0.0067024128686327,1.0,1.0,0.8947368421052632
concept_185,senior,1.0,0.0,0.0040214477211796,1.0,1.0,0.8947368421052632
concept_186,security,1.0,0.0,0.0201072386058981,1.0,1.0,0.8947368421052632
concept_187,access,1.0,0.0,0.0107238605898123,1.0,1.0,0.8947368421052632
concept_188,control,1.0,0.0,0.0067024128686327,1.0,1.0,0.8947368421052632
concept_168,login,1.0,0.0,0.0187667560321715,1.0,1.0,0.8947368421052632
concept_166,backups,1.0,0.0,0.0107238605898123,1.0,1.0,0.8947368421052632
concept_165,backup,1.0,0.0,0.017426273458445,1.0,1.0,0.8947368421052632
concept_154,format,1.0,0.0,0.0080428954423592,1.0,1.0,0.8947368421052632
concept_146,file,1.0,0.0,0.0107238605898123,1.0,1.0,0.8947368421052632
concept_147,source,1.0,0.0,0.0080428954423592,1.0,1.0,0.8947368421052632
concept_100,drop,1.0,0.0,0.0093833780160857,1.0,1.0,0.8947368421052632
concept_149,excel file,1.0,0.0,0.0067024128686327,1.0,1.0,0.8947368421052632
concept_150,exporting,1.0,0.0,0.0053619302949061,1.0,1.0,0.8947368421052632
concept_151,bcp,1.0,0.0,0.0214477211796246,1.0,1.0,0.8947368421052632
concept_152,command,1.0,0.0,0.0160857908847185,1.0,1.0,0.8947368421052632
concept_153,bcp command,1.0,0.0,0.0107238605898123,1.0,1.0,0.8947368421052632
concept_155,using,1.0,0.0,0.0147453083109919,1.0,1.0,0.8947368421052632
concept_164,run,1.0,0.0,0.0053619302949061,1.0,1.0,0.8947368421052632
concept_156,server,1.0,0.0,0.0509383378016085,1.0,1.0,0.8947368421052632
concept_157,sql server,1.0,0.0,0.03485254691689,1.0,1.0,0.8947368421052632
concept_158,click,1.0,0.0,0.002680965147453,1.0,1.0,0.8947368421052632
concept_159,screen,1.0,0.0,0.002680965147453,1.0,1.0,0.8947368421052632
concept_160,schedules,1.0,0.0,0.0053619302949061,1.0,1.0,0.8947368421052632
concept_161,job,1.0,0.0,0.0134048257372654,1.0,1.0,0.8947368421052632
concept_162,schedule,1.0,0.0,0.0067024128686327,1.0,1.0,0.8947368421052632
concept_163,time,1.0,0.0,0.0093833780160857,1.0,1.0,0.8947368421052632
concept_101,column,1.0,0.0,0.0147453083109919,1.0,1.0,0.8947368421052632
concept_95,se,1.0,0.0,0.4008042895442359,1.0,1.0,0.8947368421052632
concept_99,alter,1.0,0.0,0.0134048257372654,1.0,1.0,0.8947368421052632
concept_29,peer,1.0,0.0,0.0107238605898123,1.0,1.0,0.8947368421052632
